,Common,Scientific,Status
0,Amazon River Dolphin,Inia geoffrensis,
1,Dolphins and Porpoises,,
2,Elephant,,
3,Gorilla,Gorilla gorilla and Gorilla beringei,
4,Monarch Butterfly,Danaus plexippus,
5,Pacific Salmon,,
6,Pangolin,,
7,Penguin,Spheniscidae,
8,Poison Dart Frog,Dendrobates species,
9,Rhino,,
10,Seals,,
11,Shark,,
12,Sloth,,
13,Tuna,Thunnus and Katsuwonus species,
14,Arctic Fox,Vulpes lagopus,Least Concern
15,Arctic Wolf,Canis lupus arctos,Least Concern
16,Bowhead Whale,Balaena mysticetus,Least Concern
17,Brown Bear,Ursus arctos,Least Concern
18,Common Bottlenose Dolphin,Tursiops truncates,Least Concern
19,Gray Whale,Eschrichtius robustus,Least Concern
20,Macaw,Ara ararauna ,Least Concern
21,Pronghorn,Antilocarpa americana,Least Concern
22,Skipjack Tuna,Katsuwonus pelamis,Least Concern
23,Swift Fox,Vulpes velox,Least Concern
24,Tree Kangaroo,Dendrolagus sp.,Least Concern
25,Albacore Tuna,Thunnus alalunga,Near Threatened
26,Beluga,Delphinapterus leucas,Near Threatened
27,Greater Sage-Grouse,Centrocercus urophasianus,Near Threatened
28,Jaguar,Panthera onca,Near Threatened
29,Mountain Plover,Charadrius montanus,Near Threatened
30,Narwhal,Monodon monoceros,Near Threatened
31,Plains Bison,Bison bison bison,Near Threatened
32,White Rhino,Ceratotherium simum,Near Threatened
33,Yellowfin Tuna,Thunnus albacares,Near Threatened
34,African Elephant,Loxodonta africana,Vulnerable
35,Bigeye Tuna,Thunnus obesus,Vulnerable
36,Black Spider Monkey,Ateles paniscus,Vulnerable
37,Dugong,Dugong dugon,Vulnerable
38,Forest Elephant,,Vulnerable
39,Giant Panda,Ailuropoda melanoleuca,Vulnerable
40,Giant Tortoise,,Vulnerable
41,Great White Shark,Carcharodon carcharias,Vulnerable
42,Greater One-Horned Rhino,Rhinoceros unicornis,Vulnerable
43,Hippopotamus,Hippopotamus amphibius,Vulnerable
44,Leatherback Turtle,Dermochelys coriacea,Vulnerable
45,Loggerhead Turtle,Caretta caretta,Vulnerable
46,Marine Iguana,Amblyrhynchus cristatus,Vulnerable
47,Olive Ridley Turtle,Lepidochelys olivacea,Vulnerable
48,Polar Bear,Ursus maritimus ,Vulnerable
49,Savanna Elephant,Loxodonta africana africana,Vulnerable
50,Sea Turtle,Cheloniidae and Dermochelyidae families,Vulnerable
51,Snow Leopard,Panthera uncia,Vulnerable
52,Southern rockhopper penguin,Eudyptes chrysocome,Vulnerable
53,African Wild Dog,Lycaon pictus,Endangered
54,Amur Tiger,Panthera tigris altaica,Endangered
55,Asian Elephant,Elephas maximus indicus,Endangered
56,Bengal Tiger,Panthera tigris tigris,Endangered
57,Black-footed Ferret,Mustela nigripes,Endangered
58,Blue Whale,Balaenoptera musculus,Endangered
59,Bluefin Tuna,Thunnus spp,Endangered
60,Bonobo,Pan paniscus,Endangered
61,Borneo Pygmy Elephant,Elephas maximus borneensis,Endangered
62,Chimpanzee,Pan troglodytes,Endangered
63,Fin Whale,Balaenoptera physalus,Endangered
64,Galápagos Penguin,Spheniscus mendiculus,Endangered
65,Ganges River Dolphin,Platanista gangetica gangetica,Endangered
66,Green Turtle,Chelonia mydas,Endangered
67,Hector's Dolphin,Cephalorhynchus hectori,Endangered
68,Humphead Wrasse,Cheilinus undulatus,Endangered
69,Indian Elephant,Elephas maximus indicus,Endangered
70,Indochinese Tiger,Panthera tigris corbetti,Endangered
71,Indus River Dolphin,Platanista minor,Endangered
72,Irrawaddy Dolphin,Orcaella brevirostris,Endangered
73,Mountain Gorilla,Gorilla beringei beringei,Endangered
74,North Atlantic Right Whale,Eubalaena glacialis,Endangered
75,Red Panda,Ailurus fulgens,Endangered
76,Sea Lions,Zalophus wollebaeki,Endangered
77,Sei Whale,Balaenoptera borealis,Endangered
78,Sri Lankan Elephant,Elephas maximus maximus,Endangered
79,Tiger,Panthera tigris,Endangered
80,Whale,"Balaenoptera, Balaena, Eschrichtius, and Eubalaen",Endangered
81,Whale Shark,Rhincodon typus,Endangered
82,Amur Leopard,Panthera pardus orientalis,Critically Endangered
83,Black Rhino,Diceros bicornis,Critically Endangered
84,Bornean Orangutan,Pongo pygmaeus,Critically Endangered
85,Cross River Gorilla,Gorilla gorilla diehli,Critically Endangered
86,Eastern Lowland Gorilla,Gorilla beringei graueri,Critically Endangered
87,Hawksbill Turtle,Eretmochelys imbricata,Critically Endangered
88,Javan Rhino,Rhinoceros sondaicus,Critically Endangered
89,Malayan Tiger,Panthera tigris jacksoni,Critically Endangered
90,Orangutan,"Pongo abelii, Pongo pygmaeus",Critically Endangered
91,Saola,Pseudoryx nghetinhensis,Critically Endangered
92,South China Tiger,Panthera tigris amoyensis,Critically Endangered
93,Sumatran Elephant ,Elephas maximus sumatranus,Critically Endangered
94,Sumatran Orangutan,Pongo abelii,Critically Endangered
95,Sumatran Rhino,Dicerorhinus sumatrensis,Critically Endangered
96,Sumatran Tiger,Panthera tigris sumatrae,Critically Endangered
97,Vaquita,Phocoena sinus,Critically Endangered
98,Western Lowland Gorilla,Gorilla gorilla gorilla,Critically Endangered
99,Yangtze Finless Porpoise,Neophocaena asiaeorientalis ssp. asiaeorientalis,Critically Endangered
